,Matlab Date,Time Collected PT (hhmm),Temp (deg C),Chl Volume Filtered (mL),Chl1 (mg/m3),Chl2 (mg/m3),Avg Chloro (mg/m3),Phaeo1 (mg/m3),Phaeo2 (mg/m3),Avg Phaeo (mg/m3),Nitrate (uM),Phosphate (uM),Silicate (uM) ,Nitrite (uM),Ammonium (uM),'CellCountDetection_Limit','Total_Diatoms','Akashiwo_sanguinea',Total_Tripos',Total_Cochlodinium_spp','Lingulodinium_polyedra',Total_Prorocentrum_spp','Total_Dinoflagellates','Total_Phytoplankton',DATE,SURF_SAL_PSU,BOT_SAL_PSU,SURF_TEMP_C,BOT_TEMP_C,WSPD
12,733631.375,900,22.0,100.0,1.91,1.69,1.8,0.66,0.6,0.63,0.32,0.27,2.6,0.0,0.8,89.0,187847.0,0.0,,0.0,0.0,713.0,3832.0,191679.0,2008-08-11,33.55,33.41,20.2,16.6,3.1625
13,733634.322916667,745,20.4,100.0,0.9,0.86,0.88,0.25,0.23,0.24,,,,,,,,,,,,,,,2008-08-14,33.55,33.42,21.0,18.6,2.8708333333333336
14,733638.336805556,805,24.4,100.0,1.86,1.78,1.82,0.43,0.44,0.43,0.0,0.19,2.6,0.0,0.0,89.0,65319.0,0.0,,0.0,0.0,445.0,4901.0,70220.0,2008-08-18,33.57,33.39,22.4,18.5,3.0041666666666664
15,733641.331944444,758,21.9,100.0,1.77,1.76,1.77,0.54,0.55,0.54,,,,,,,,,,,,,,,2008-08-21,,,,,3.145833333333333
16,733645.336805556,805,19.7,100.0,1.73,1.72,1.72,0.44,0.49,0.47,0.19,0.27,3.4,0.01,1.09,89.0,24684.0,0.0,,0.0,0.0,178.0,802.0,25486.0,2008-08-25,33.55,33.48,21.3,20.0,2.225
17,733648.34375,815,22.6,100.0,1.77,1.78,1.78,0.21,0.22,0.21,,,,,,,,,,,,,,,2008-08-28,33.55,33.45,22.6,20.9,3.345833333333333
18,733653.405555556,945,21.8,100.0,1.37,1.33,1.35,0.2,0.22,0.21,0.26,0.21,3.2,0.0,1.01,89.0,5436.0,0.0,,0.0,0.0,89.0,802.0,6238.0,2008-09-02,33.51,33.4,22.1,19.0,2.833333333333333
19,733655.336805556,805,22.1,100.0,1.87,1.86,1.86,0.21,0.22,0.21,,,,,,,,,,,,,,,2008-09-04,33.51,33.48,22.3,22.2,3.458333333333333
20,733659.322916667,745,21.6,100.0,1.64,1.68,1.66,0.28,0.31,0.3,0.22,0.2,3.7,0.12,0.97,89.0,10782.0,0.0,,0.0,0.0,802.0,1960.0,12743.0,2008-09-08,33.5,33.4,22.3,20.0,2.35
21,733662.371527778,855,22.0,100.0,1.93,1.91,1.92,0.28,0.29,0.28,,,,,,,,,,,,,,,2008-09-11,33.54,33.54,,,3.35
22,733666.326388889,750,19.2,100.0,3.95,3.8,3.88,0.46,0.56,0.51,0.33,0.19,3.1,0.0,0.46,89.0,27179.0,0.0,,0.0,178.0,2138.0,6505.0,33684.0,2008-09-15,33.49,33.46,19.7,19.6,5.2250000000000005
23,733669.329166667,755,18.5,100.0,1.75,1.81,1.78,0.35,0.38,0.37,,,,,,,,,,,,,,,2008-09-18,33.46,33.46,20.1,19.6,3.725
24,733673.322916667,745,19.0,100.0,2.14,2.15,2.14,0.38,0.35,0.37,0.17,0.21,3.4,0.0,0.78,89.0,17377.0,0.0,,0.0,0.0,1337.0,2050.0,19426.0,2008-09-22,33.43,33.42,19.3,19.2,3.295833333333333
25,733676.363888889,845,18.7,100.0,2.91,2.93,2.92,0.46,0.5,0.48,,,,,,,,,,,,,,,2008-09-25,33.43,33.37,20.0,17.7,5.508333333333333
26,733680.363888889,845,18.1,100.0,2.48,2.48,2.48,0.7,0.71,0.7,0.23,0.28,2.9,0.0,0.77,89.0,57922.0,0.0,,0.0,178.0,624.0,2941.0,60863.0,2008-09-29,33.41,,18.5,,5.15
27,733683.361111111,840,20.1,100.0,1.82,1.82,1.82,0.31,0.34,0.33,,,,,,,,,,,,,,,2008-10-02,33.48,33.41,21.2,20.4,2.2916666666666665
28,733687.34375,815,19.2,100.0,1.34,1.29,1.31,0.55,0.56,0.55,0.33,0.23,2.7,0.0,1.48,89.0,55962.0,0.0,,0.0,89.0,980.0,6060.0,62022.0,2008-10-06,33.52,33.47,19.7,19.7,2.370833333333333
29,733690.354166667,830,19.8,100.0,2.24,2.32,2.28,0.54,0.61,0.58,,,,,,,,,,,,,,,2008-10-09,33.5,33.45,20.4,20.3,1.8708333333333331
30,733694.38125,910,18.1,100.0,2.37,2.37,2.37,0.52,0.53,0.52,0.51,0.41,6.0,0.06,1.4,89.0,159420.0,0.0,,0.0,178.0,6416.0,12208.0,171629.0,2008-10-13,33.56,33.32,18.3,15.6,7.145833333333333
31,733697.34375,815,16.6,100.0,2.25,2.32,2.28,0.77,0.74,0.75,,,,,,,,,,,,,,,2008-10-16,33.47,33.35,17.8,16.7,2.6833333333333336
32,733701.339583333,810,16.6,100.0,1.73,1.75,1.74,0.65,0.69,0.67,0.32,0.29,1.8,0.0,0.81,89.0,197203.0,0.0,,0.0,0.0,445.0,1782.0,198986.0,2008-10-20,33.41,33.29,17.3,16.0,2.4291666666666667
33,733704.346527778,820,16.2,100.0,0.93,0.95,0.94,0.44,0.4,0.42,,,,,,,,,,,,,,,2008-10-23,33.4,33.34,16.8,16.7,2.520833333333333
34,733708.346527778,820,17.6,100.0,0.91,0.91,0.91,0.8,0.82,0.81,0.59,0.3,1.9,0.0,1.16,89.0,78953.0,0.0,,0.0,89.0,178.0,3030.0,81982.0,2008-10-27,33.48,33.4,18.5,18.1,3.725
35,733711.361111111,840,18.3,100.0,0.43,0.43,0.43,0.18,0.18,0.18,,,,,,,,,,,,,,,2008-10-30,,,,,4.4
36,733715.368055556,850,16.2,100.0,0.86,0.83,0.84,0.9,1.04,0.97,0.9,0.43,3.3,0.0,1.4,89.0,45179.0,0.0,,0.0,0.0,445.0,1693.0,46873.0,2008-11-03,33.51,33.44,18.7,18.7,4.5875
37,733718.385416667,915,17.5,100.0,1.91,1.95,1.93,0.84,0.82,0.83,,,,,,,,,,,,,,,2008-11-06,33.49,33.41,18.6,17.7,3.3000000000000003
38,733722.38125,910,16.9,100.0,1.18,1.18,1.18,0.8,0.77,0.79,0.56,0.36,2.8,0.0,0.8,89.0,44467.0,0.0,,0.0,178.0,2049.0,10070.0,54536.0,2008-11-10,33.47,33.4,17.2,17.2,6.466666666666666
39,733725.38125,910,16.9,100.0,2.44,2.3,2.37,0.48,0.58,0.53,,,,,,,,,,,,,,,2008-11-13,33.49,33.42,17.8,17.5,1.425
40,733729.371527778,855,16.9,100.0,1.28,1.24,1.26,0.42,0.43,0.42,0.29,0.3,3.0,0.0,0.6,89.0,28070.0,0.0,,0.0,89.0,1248.0,7307.0,35377.0,2008-11-17,33.48,33.41,17.8,17.6,2.4458333333333333
41,733732.398611111,935,16.6,100.0,1.05,1.09,1.07,0.68,0.62,0.65,,,,,,,,,,,,,,,2008-11-20,33.6,33.41,17.5,17.0,1.95
42,733736.385416667,915,17.0,100.0,0.76,0.76,0.76,0.3,0.3,0.3,0.2,0.31,2.4,0.0,0.31,89.0,11674.0,0.0,,0.0,0.0,445.0,6060.0,17733.0,2008-11-24,33.49,33.44,17.4,17.4,2.3916666666666666
43,733738.333333333,800,16.8,100.0,1.12,1.29,1.21,0.6,0.41,0.51,,,,,,,,,,,,,,,2008-11-26,33.41,33.38,17.6,17.5,5.7125
44,733743.375,900,16.4,100.0,1.45,1.47,1.46,1.12,1.16,1.14,0.58,0.38,3.2,0.0,0.65,89.0,31189.0,0.0,,0.0,89.0,1515.0,4545.0,35734.0,2008-12-01,33.37,33.35,16.8,16.7,3.158333333333333
45,733746.385416667,915,16.6,100.0,1.28,1.33,1.3,0.66,0.71,0.68,,,,,,,,,,,,,,,2008-12-04,,,,,1.6208333333333331
46,733750.378472222,905,16.6,100.0,1.67,1.59,1.63,0.98,0.92,0.95,0.43,0.36,2.6,0.0,0.91,89.0,43754.0,0.0,,178.0,0.0,3475.0,10337.0,54091.0,2008-12-08,33.45,33.4,16.7,16.9,3.691666666666667
47,733753.375,900,15.9,100.0,1.76,1.77,1.77,0.81,0.82,0.81,0.14,0.37,4.0,0.07,0.69,89.0,26021.0,0.0,,0.0,0.0,5703.0,12832.0,38853.0,2008-12-11,33.44,33.41,16.6,16.4,3.3000000000000003
48,733757.361111111,840,15.1,100.0,1.22,1.25,1.24,0.71,0.7,0.71,0.25,0.36,3.9,0.04,0.54,89.0,20941.0,0.0,,0.0,89.0,2406.0,6149.0,27090.0,2008-12-15,33.43,,15.0,,7.008333333333333
49,733760.385416667,915,14.5,100.0,0.87,0.85,0.86,0.74,0.71,0.73,,,,,,,,,,,,,,,2008-12-18,33.29,33.22,14.4,14.3,7.5125
50,733764.38125,910,14.5,100.0,1.6,1.62,1.61,0.77,0.88,0.83,1.35,0.44,4.3,0.0,0.41,89.0,16307.0,0.0,,0.0,0.0,2762.0,6594.0,22902.0,2008-12-22,33.31,33.27,14.5,14.5,5.766666666666667
51,733767.371527778,855,14.4,100.0,1.93,1.93,1.93,0.97,1.09,1.03,,,,,,,,,,,,,,,2008-12-25,33.26,33.27,14.5,14.5,9.091666666666669
52,733771.385416667,915,13.7,100.0,1.4,1.39,1.39,0.74,0.75,0.75,2.47,0.53,5.5,0.0,0.76,89.0,42773.0,356.0,,0.0,0.0,1782.0,5792.0,48566.0,2008-12-29,33.31,33.26,14.0,14.0,3.825
53,733774.409722222,950,14.0,100.0,3.91,3.74,3.83,1.03,1.2,1.12,,,,,,,,,,,,,,,2009-01-01,33.32,33.27,14.2,14.2,1.5541666666666665
54,733778.413888889,956,13.4,100.0,2.69,2.58,2.63,0.88,1.11,1.0,1.17,0.44,5.1,0.0,0.68,203.0,59768.0,5692.0,,407.0,610.0,7318.0,18703.0,78471.0,2009-01-05,33.34,33.31,13.3,13.4,4.091666666666667
55,733781.427083333,1015,13.9,100.0,2.52,2.53,2.52,0.68,0.54,0.61,0.49,0.41,5.1,0.09,0.48,306.0,47730.0,3672.0,,0.0,0.0,7343.0,19888.0,67618.0,2009-01-08,33.39,33.34,14.6,14.1,3.145833333333333
56,733785.413194445,955,14.0,100.0,2.6,2.5,2.55,0.43,0.44,0.43,0.52,0.36,4.2,0.0,0.45,89.0,75388.0,7396.0,,178.0,89.0,9268.0,27981.0,103369.0,2009-01-12,33.41,33.37,14.6,14.6,2.6333333333333333
57,733788.38125,910,14.2,100.0,1.18,1.19,1.19,0.41,0.42,0.42,0.24,0.35,4.9,0.04,0.53,89.0,30209.0,802.0,,0.0,89.0,1426.0,9891.0,40100.0,2009-01-15,33.46,33.43,15.4,15.4,2.5416666666666665
58,733793.392361111,925,14.5,100.0,1.71,1.67,1.69,0.56,0.58,0.57,0.4,0.33,3.1,0.0,0.37,89.0,48477.0,1871.0,,267.0,0.0,4366.0,16129.0,64606.0,2009-01-20,33.47,33.39,15.3,15.2,1.3541666666666667
59,733795.38125,910,14.6,100.0,1.12,1.07,1.09,0.62,0.63,0.63,,,,,,,,,,,,,,,2009-01-22,33.51,33.39,15.4,15.3,2.520833333333333
60,733799.375,900,14.3,100.0,1.4,1.38,1.39,1.31,1.31,1.31,0.84,0.38,3.5,0.0,0.36,306.0,64252.0,918.0,,0.0,0.0,3978.0,11627.0,75879.0,2009-01-26,33.41,,14.5,,9.729166666666666
61,733802.392361111,925,14.1,100.0,1.17,1.09,1.13,0.52,0.61,0.57,0.85,0.44,5.4,0.13,1.26,306.0,44365.0,3366.0,,0.0,0.0,6425.0,17134.0,61498.0,2009-01-29,33.43,33.39,14.6,14.6,3.1041666666666665
62,733806.422916667,1010,14.4,100.0,1.69,1.66,1.67,0.77,0.79,0.78,0.68,0.36,4.0,0.0,0.47,306.0,78938.0,918.0,,0.0,0.0,21417.0,37021.0,115960.0,2009-02-02,33.45,33.42,14.9,14.9,1.8416666666666668
63,733809.395833333,930,14.4,100.0,1.71,1.65,1.68,0.77,0.78,0.77,,,,,,,,,,,,,,,2009-02-05,,,,,5.033333333333333
64,733813.385416667,915,14.5,100.0,1.23,1.21,1.22,0.62,0.59,0.6,0.4,0.3,3.6,0.0,0.69,306.0,94848.0,0.0,,0.0,0.0,18358.0,31820.0,126668.0,2009-02-09,33.11,,14.4,,9.670833333333333
65,733816.378472222,905,14.2,100.0,1.22,1.23,1.22,1.16,0.9,1.03,0.51,0.41,6.0,0.06,1.4,306.0,82916.0,612.0,,0.0,0.0,12850.0,18358.0,101274.0,2009-02-12,33.29,,14.3,,8.691666666666666
66,733820.38125,910,13.8,100.0,2.28,2.32,2.3,0.98,1.05,1.02,1.43,0.42,4.6,0.0,1.24,306.0,206219.0,918.0,,0.0,0.0,23865.0,35492.0,241710.0,2009-02-16,33.36,,13.8,,8.3375
67,733823.398611111,935,14.1,100.0,1.54,1.54,1.54,0.75,0.8,0.77,,,,,,,,,,,,,,,2009-02-19,33.37,33.34,14.3,14.3,2.8000000000000003
68,733827.38125,910,14.3,100.0,1.86,1.96,1.91,0.75,0.69,0.72,0.46,0.29,4.5,0.0,0.48,306.0,18052.0,0.0,,0.0,0.0,45894.0,62722.0,80774.0,2009-02-23,33.33,33.32,14.9,14.8,3.091666666666667
69,733830.388194445,920,14.4,100.0,1.93,1.96,1.95,1.01,0.95,0.98,,,,,,,,,,,,,,,2009-02-26,33.32,33.28,14.9,14.7,4.929166666666666
70,733834.38125,910,14.9,100.0,2.34,2.52,2.43,0.6,0.54,0.57,0.38,0.22,3.9,0.0,0.0,306.0,164914.0,918.0,,0.0,306.0,57215.0,95766.0,260680.0,2009-03-02,33.32,,16.0,,2.5125
71,733837.388194445,920,14.9,100.0,2.09,2.1,2.09,0.67,0.74,0.7,,,,,,,,,,,,,,,2009-03-05,33.38,33.33,15.5,15.2,4.133333333333334
72,733841.34375,815,14.5,100.0,4.91,5.06,4.98,0.98,0.86,0.92,0.22,0.21,3.8,0.0,0.24,306.0,248135.0,5507.0,,0.0,0.0,188778.0,241710.0,489846.0,2009-03-09,33.42,33.38,14.8,14.5,3.720833333333333
73,733844.371527778,855,14.5,100.0,4.67,4.73,4.7,0.91,1.01,0.96,,,,,,,,,,,,,,,2009-03-12,33.45,33.41,14.7,14.7,1.8041666666666665
74,733848.34375,815,14.7,100.0,5.15,5.32,5.23,0.8,0.49,0.64,0.0,0.2,4.3,0.0,0.25,410.0,57845.0,0.0,,821.0,410.0,239176.0,263792.0,321637.0,2009-03-16,33.45,33.43,14.9,14.9,1.875
75,733851.373611111,859,14.7,100.0,4.3,4.41,4.35,0.79,0.85,0.82,,,,,,,,,,,,,,,2009-03-19,33.47,33.43,15.4,15.1,2.6875
76,733855.339583333,810,14.3,100.0,6.23,6.3,6.26,1.35,1.62,1.49,1.4,0.4,5.9,0.0,0.64,306.0,111370.0,306.0,,0.0,612.0,225189.0,285769.0,397139.0,2009-03-23,33.46,33.42,14.3,14.3,7.520833333333333
77,733858.354166667,830,14.3,100.0,4.91,4.91,4.91,0.93,0.96,0.94,,,,,,,,,,,,,,,2009-03-26,33.49,33.46,14.8,14.6,2.2625
78,733862.368055556,850,14.4,100.0,3.26,3.21,3.24,1.38,1.53,1.45,0.75,0.32,6.3,0.0,0.78,306.0,258844.0,306.0,,0.0,306.0,59662.0,81080.0,339924.0,2009-03-30,33.49,33.49,14.6,14.7,2.404166666666667
79,733865.326388889,750,15.2,100.0,2.11,2.15,2.13,1.3,1.31,1.3,,,,,,,,,,,,,,,2009-04-02,33.56,33.5,15.8,15.6,3.1291666666666664
80,733869.336805556,805,15.9,100.0,1.74,1.79,1.77,0.48,0.47,0.47,0.11,0.26,6.0,0.0,0.69,306.0,44059.0,0.0,,0.0,0.0,58133.0,72207.0,116266.0,2009-04-06,33.58,33.54,16.1,15.5,2.370833333333333
81,733872.356944445,835,16.2,100.0,2.78,2.56,2.67,0.72,0.72,0.72,,,,,,,,,,,,,,,2009-04-09,33.59,33.53,16.4,16.3,6.6125
82,733876.339583333,810,15.3,100.0,2.03,1.95,1.99,0.55,0.56,0.56,1.57,0.4,7.6,0.0,0.4,306.0,44670.0,0.0,,0.0,0.0,29679.0,44059.0,88729.0,2009-04-13,33.57,33.52,16.1,15.8,2.645833333333333
83,733879.354166667,830,14.3,100.0,6.02,5.88,5.95,1.17,1.3,1.23,,,,,,,,,,,,,,,2009-04-16,33.61,33.55,14.4,14.4,8.429166666666667
84,733883.34375,815,16.7,100.0,1.82,1.82,1.82,0.36,0.38,0.37,0.0,0.11,0.0,0.0,0.5,306.0,1405285.0,0.0,,0.0,0.0,13462.0,20194.0,1425478.0,2009-04-20,33.65,33.62,16.8,14.4,3.279166666666667
85,733886.346527778,820,16.2,100.0,4.93,4.89,4.91,0.87,0.83,0.85,0.41,0.12,2.2,0.02,0.68,306.0,1932764.0,0.0,,0.0,0.0,27843.0,40081.0,1972845.0,2009-04-23,33.61,33.63,16.0,13.1,2.520833333333333
86,733890.339583333,810,15.8,100.0,1.67,1.65,1.66,1.15,1.27,1.21,2.92,0.49,6.2,0.0,1.42,306.0,456496.0,0.0,,0.0,0.0,8873.0,13462.0,469958.0,2009-04-27,33.59,33.56,16.4,16.0,3.3541666666666665
87,733893.354166667,830,16.8,100.0,2.14,2.17,2.16,0.72,0.8,0.76,,,,,,,,,,,,,,,2009-04-30,33.62,33.59,16.5,16.6,3.5500000000000003
88,733897.339583333,810,17.7,100.0,3.78,3.85,3.81,0.68,0.66,0.67,0.19,0.17,1.1,0.0,0.35,306.0,810494.0,0.0,,0.0,0.0,11932.0,23865.0,834359.0,2009-05-04,33.65,33.59,18.5,18.5,5.175
89,733900.375,900,18.6,100.0,1.91,1.97,1.94,0.46,0.47,0.47,,,,,,,,,,,,,,,2009-05-07,33.67,33.62,18.2,17.7,5.491666666666667
90,733904.34375,815,18.9,100.0,4.5,4.39,4.45,0.84,0.96,0.9,0.3,0.13,0.0,0.0,0.22,306.0,883619.0,0.0,,0.0,0.0,37939.0,60886.0,944506.0,2009-05-11,33.67,33.63,18.5,18.4,3.0083333333333333
91,733907.356944445,835,18.7,100.0,3.26,3.1,3.18,0.85,1.01,0.93,,,,,,,,,,,,,,,2009-05-14,33.69,33.64,18.7,18.5,1.95
92,733911.339583333,810,19.3,100.0,2.94,2.81,2.87,0.88,1.04,0.96,0.28,0.12,0.0,0.0,0.29,306.0,568172.0,0.0,,0.0,0.0,22335.0,52626.0,620797.0,2009-05-18,33.7,33.64,19.0,18.6,2.6750000000000003
93,733914.363888889,845,19.0,100.0,1.84,1.89,1.87,0.6,0.65,0.62,,,,,,,,,,,,,,,2009-05-21,33.67,33.67,19.0,18.6,3.0125
94,733918.381944445,911,20.2,100.0,1.07,1.05,1.06,0.41,0.37,0.39,0.36,0.15,1.5,0.0,1.14,306.0,36410.0,0.0,,0.0,0.0,4590.0,33350.0,69759.0,2009-05-25,33.7,33.65,19.6,19.6,3.4291666666666667
95,733922.354166667,830,19.4,100.0,1.43,1.43,1.43,0.79,0.79,0.79,,,,,,,,,,,,,,,2009-05-29,33.72,33.65,19.0,18.8,2.704166666666667
96,733925.34375,815,19.0,100.0,1.84,1.88,1.86,0.88,0.88,0.88,0.54,0.17,2.4,0.0,1.0,306.0,58133.0,0.0,,0.0,0.0,10708.0,33350.0,91483.0,2009-06-01,33.69,33.66,18.5,18.6,2.6541666666666663
97,733928.339583333,810,19.5,100.0,1.34,1.34,1.34,0.57,0.57,0.57,,,,,,,,,,,,,,,2009-06-04,33.71,33.6,19.1,16.0,2.95
98,733932.339583333,810,19.5,100.0,1.79,1.81,1.8,0.65,0.7,0.67,1.36,0.28,6.2,0.0,1.77,306.0,740123.0,0.0,,0.0,0.0,1836.0,11015.0,751137.0,2009-06-08,33.71,33.64,18.0,14.1,4.041666666666667
99,733935.354166667,830,18.2,100.0,1.44,1.38,1.41,0.44,0.48,0.46,,,,,,,,,,,,,,,2009-06-11,33.71,33.66,18.2,16.8,1.9541666666666664
100,733939.339583333,810,19.9,100.0,0.91,0.9,0.9,0.17,0.22,0.19,0.37,0.28,6.3,0.0,0.31,306.0,67618.0,0.0,,0.0,0.0,0.0,306.0,67924.0,2009-06-15,33.7,33.66,19.4,19.3,4.591666666666667
101,733942.451388889,1051,20.7,100.0,1.67,1.66,1.66,0.51,0.51,0.51,,,,,,,,,,,,,,,2009-06-18,,,,,2.8666666666666667
102,733946.343055556,814,20.6,100.0,1.27,1.24,1.25,0.58,0.57,0.57,0.34,0.24,5.4,0.0,0.59,306.0,41611.0,0.0,,0.0,0.0,612.0,4283.0,45894.0,2009-06-22,33.73,33.67,20.0,20.0,3.3083333333333336
103,733949.440277778,1035,21.3,100.0,1.28,1.33,1.3,0.45,0.44,0.45,,,,,,,,,,,,,,,2009-06-25,33.75,33.63,20.7,19.4,2.9625
104,733953.339583333,810,20.3,100.0,1.84,1.92,1.88,0.59,0.67,0.63,0.32,0.28,4.2,0.0,0.81,306.0,122079.0,0.0,,0.0,612.0,1836.0,17440.0,139519.0,2009-06-29,33.69,33.66,20.5,20.6,3.883333333333333
105,733956.363888889,845,19.3,100.0,2.09,2.07,2.08,0.45,0.49,0.47,,,,,,,,,,,,,,,2009-07-02,33.63,33.52,19.1,16.9,4.283333333333333
106,733960.34375,815,18.0,100.0,3.21,3.26,3.24,0.84,0.79,0.82,0.71,0.32,4.7,0.0,0.82,306.0,522890.0,0.0,,0.0,2448.0,18052.0,75267.0,598156.0,2009-07-06,33.54,33.52,18.2,13.6,2.4916666666666667
107,733963.402777778,940,19.7,100.0,1.79,1.8,1.8,0.43,0.46,0.44,,,,,,,,,,,,,,,2009-07-09,33.62,33.5,19.3,15.2,3.2375000000000003
108,733967.34375,815,20.9,100.0,2.45,2.37,2.41,0.4,0.47,0.43,0.17,0.26,0.0,0.0,0.57,306.0,843844.0,0.0,,0.0,306.0,7955.0,18664.0,862508.0,2009-07-13,33.56,33.48,19.6,17.2,2.316666666666667
109,733970.368055556,850,20.8,100.0,4.21,4.07,4.14,0.62,0.7,0.66,,,,,,,,,,,,,,,2009-07-16,33.59,33.45,20.1,15.9,3.404166666666667
110,733974.339583333,810,20.9,100.0,2.42,2.4,2.41,0.28,0.31,0.3,0.1,0.21,0.0,0.0,0.44,410.0,1003065.0,0.0,,0.0,0.0,1231.0,9846.0,1012911.0,2009-07-20,33.53,33.47,20.8,19.6,2.4916666666666667
111,733977.378472222,905,23.4,100.0,0.56,0.58,0.57,0.13,0.15,0.14,,,,,,,,,,,,,,,2009-07-23,33.68,33.57,23.4,21.9,2.333333333333333
112,733981.34375,815,24.5,100.0,1.06,1.01,1.03,0.25,0.26,0.26,0.29,0.17,0.0,0.0,0.74,306.0,77102.0,0.0,,0.0,0.0,9791.0,27537.0,104639.0,2009-07-27,33.72,33.66,24.1,24.3,2.1666666666666665
113,733984.420138889,1005,23.5,100.0,0.95,0.94,0.94,0.33,0.33,0.33,,,,,,,,,,,,,,,2009-07-30,33.78,33.67,23.7,23.6,2.670833333333333
114,733988.339583333,810,23.5,100.0,0.92,0.93,0.92,0.47,0.48,0.47,0.33,0.24,0.0,0.0,0.47,306.0,35186.0,0.0,,0.0,0.0,612.0,11015.0,46200.0,2009-08-03,33.77,33.68,23.4,23.2,4.395833333333333
115,733991.379861111,907,23.7,100.0,1.09,1.09,1.09,0.5,0.5,0.5,,,,,,,,,,,,,,,2009-08-06,33.73,33.49,23.7,19.4,5.9625
116,733995.346527778,820,23.0,100.0,0.68,0.7,0.69,0.23,0.23,0.23,0.51,0.24,1.2,0.0,1.38,306.0,53543.0,0.0,,0.0,0.0,306.0,9485.0,63028.0,2009-08-10,33.68,33.48,22.2,19.2,2.3125
117,733998.34375,815,22.0,100.0,0.89,0.9,0.89,0.32,0.32,0.32,,,,,,,,,,,,,,,2009-08-13,33.7,33.56,22.1,21.0,3.1166666666666667
118,734002.336805556,805,22.1,100.0,0.92,0.93,0.93,0.44,0.45,0.45,0.33,0.28,1.2,0.0,0.57,306.0,70677.0,0.0,,0.0,0.0,1530.0,9485.0,80162.0,2009-08-17,33.71,33.45,22.5,18.4,2.4375
119,734005.34375,815,22.3,100.0,1.01,0.97,0.99,0.36,0.38,0.37,,,,,,,,,,,,,,,2009-08-20,33.72,33.58,22.5,21.2,2.9291666666666667
120,734009.339583333,810,22.8,100.0,1.09,1.06,1.07,0.49,0.52,0.51,0.34,0.22,1.4,0.0,0.98,306.0,98520.0,0.0,,0.0,0.0,1836.0,12238.0,110758.0,2009-08-24,33.65,33.62,22.3,22.0,2.558333333333333
