"serial_day","chlA_.1wk","chlA","nitrate","phosphate","silicate","nitrite","nitrate_phosphate_ratio","N_star","Si_star","AvgTemp_1wk","AvgDens_1wk","SST","WIND_SPD","U_WIND","PRCP_2wkavg","AWND_2wkavg","chlA_1wk","nitrate_1wk","phosphate_1wk","silicate_1wk","nitrite_1wk","nitrate_phosphate_ratio_1wk","N_star_1wk","Si_star_1wk","AvgTemp_1wk_1wk","AvgDens_1wk_1wk","SST_1wk","WIND_SPD_1wk","U_WIND_1wk","PRCP_2wkavg_1wk","AWND_2wkavg_1wk","chlA_2wk","nitrate_2wk","phosphate_2wk","silicate_2wk","nitrite_2wk","nitrate_phosphate_ratio_2wk","N_star_2wk","Si_star_2wk","AvgTemp_1wk_2wk","AvgDens_1wk_2wk","SST_2wk","WIND_SPD_2wk","U_WIND_2wk","PRCP_2wkavg_2wk","AWND_2wkavg_2wk"
725694,0.65,0.33,0.3,0.355,2.05,0.03,0.84507042,-5.38,1.695,17.421429,1024.2893,18.13257,2.8449275,0.071529187,21,26.714286,0.595,0.2,0.325,2.1,0.035,0.61538462,-5,1.775,18.171429,1024.1388,18.43816,2.7207428,0.72673667,0,29.214286,0.615,0.22,0.325,1.425,0.04,0.67692308,-4.98,1.1,18.014286,1024.1603,18.848874,2.9630047,0.90260635,0,28.357143
725701,0.475,0.65,0.3,0.33,1.85,0.025,0.90909091,-4.98,1.52,17.442857,1024.2283,18.171752,3.3340321,0.69644463,21,25,0.33,0.3,0.355,2.05,0.03,0.84507042,-5.38,1.695,17.421429,1024.2893,18.13257,2.8449275,0.071529187,21,26.714286,0.595,0.2,0.325,2.1,0.035,0.61538462,-5,1.775,18.171429,1024.1388,18.43816,2.7207428,0.72673667,0,29.214286
725707,0.605,0.475,0.3,0.36,2.05,0.055,0.83333333,-5.46,1.69,16.964286,1024.3567,18.065572,3.265611,1.250106,1.4285714,23.714286,0.65,0.3,0.33,1.85,0.025,0.90909091,-4.98,1.52,17.442857,1024.2283,18.171752,3.3340321,0.69644463,21,25,0.33,0.3,0.355,2.05,0.03,0.84507042,-5.38,1.695,17.421429,1024.2893,18.13257,2.8449275,0.071529187,21,26.714286
725715,0.39,0.605,0.25,0.36,2,0.075,0.69444444,-5.51,1.64,17.042857,1024.3359,17.65258,2.8848397,0.9779103,11.428571,20.857143,0.475,0.3,0.36,2.05,0.055,0.83333333,-5.46,1.69,16.964286,1024.3567,18.065572,3.265611,1.250106,1.4285714,23.714286,0.65,0.3,0.33,1.85,0.025,0.90909091,-4.98,1.52,17.442857,1024.2283,18.171752,3.3340321,0.69644463,21,25
725722,0.875,0.39,0.1,0.365,1.9,0.03,0.2739726,-5.74,1.535,16.771429,1024.4066,17.332863,2.9677019,0.62854535,11.428571,21.642857,0.605,0.25,0.36,2,0.075,0.69444444,-5.51,1.64,17.042857,1024.3359,17.65258,2.8848397,0.9779103,11.428571,20.857143,0.475,0.3,0.36,2.05,0.055,0.83333333,-5.46,1.69,16.964286,1024.3567,18.065572,3.265611,1.250106,1.4285714,23.714286
725729,0.735,0.875,0.05,0.34,2.05,0.07,0.14705882,-5.39,1.71,16.557143,1024.4418,17.20389,3.2459757,0.812942,5.8571429,22.285714,0.39,0.1,0.365,1.9,0.03,0.2739726,-5.74,1.535,16.771429,1024.4066,17.332863,2.9677019,0.62854535,11.428571,21.642857,0.605,0.25,0.36,2,0.075,0.69444444,-5.51,1.64,17.042857,1024.3359,17.65258,2.8848397,0.9779103,11.428571,20.857143
725736,0.445,0.735,0.9,0.355,1.7,0.015,2.5352113,-4.78,1.345,16.492857,1024.4467,16.935611,3.1872024,1.2381155,5.8571429,21.642857,0.875,0.05,0.34,2.05,0.07,0.14705882,-5.39,1.71,16.557143,1024.4418,17.20389,3.2459757,0.812942,5.8571429,22.285714,0.39,0.1,0.365,1.9,0.03,0.2739726,-5.74,1.535,16.771429,1024.4066,17.332863,2.9677019,0.62854535,11.428571,21.642857
725743,1.255,0.445,0,0.38,1.6,0.16,0,-6.08,1.22,15.871429,1024.5748,16.534336,3.4218672,0.64078783,29.071429,28.214286,0.735,0.9,0.355,1.7,0.015,2.5352113,-4.78,1.345,16.492857,1024.4467,16.935611,3.1872024,1.2381155,5.8571429,21.642857,0.875,0.05,0.34,2.05,0.07,0.14705882,-5.39,1.71,16.557143,1024.4418,17.20389,3.2459757,0.812942,5.8571429,22.285714
725750,1.31,1.255,0,0.485,2.4,0.185,0,-7.76,1.915,15.285714,1024.643,15.983443,3.9147243,0.92382377,30.5,31.285714,0.445,0,0.38,1.6,0.16,0,-6.08,1.22,15.871429,1024.5748,16.534336,3.4218672,0.64078783,29.071429,28.214286,0.735,0.9,0.355,1.7,0.015,2.5352113,-4.78,1.345,16.492857,1024.4467,16.935611,3.1872024,1.2381155,5.8571429,21.642857
725757,1.17,1.31,0,0.43,1.6,0.145,0,-6.88,1.17,14.514286,1024.8689,15.033463,4.469837,2.5025876,1.4285714,31.5,1.255,0,0.485,2.4,0.185,0,-7.76,1.915,15.285714,1024.643,15.983443,3.9147243,0.92382377,30.5,31.285714,0.445,0,0.38,1.6,0.16,0,-6.08,1.22,15.871429,1024.5748,16.534336,3.4218672,0.64078783,29.071429,28.214286
725764,0.605,1.17,0.5,0.36,1.9,0.1,1.3888889,-5.26,1.54,14.414286,1024.9211,14.323318,3.9545807,2.0712373,0,30.928571,1.31,0,0.43,1.6,0.145,0,-6.88,1.17,14.514286,1024.8689,15.033463,4.469837,2.5025876,1.4285714,31.5,1.255,0,0.485,2.4,0.185,0,-7.76,1.915,15.285714,1024.643,15.983443,3.9147243,0.92382377,30.5,31.285714
725771,0.3,0.605,0.45,0.37,1.55,0.09,1.2162162,-5.47,1.18,14.5,1024.8983,14.616033,3.1755047,0.86419689,0,27,1.17,0.5,0.36,1.9,0.1,1.3888889,-5.26,1.54,14.414286,1024.9211,14.323318,3.9545807,2.0712373,0,30.928571,1.31,0,0.43,1.6,0.145,0,-6.88,1.17,14.514286,1024.8689,15.033463,4.469837,2.5025876,1.4285714,31.5
725778,0.58,0.3,0.2,0.34,1.9,0.005,0.58823529,-5.24,1.56,15.521429,1024.6838,15.221144,3.7859601,0.51565948,0.71428571,29.5,0.605,0.45,0.37,1.55,0.09,1.2162162,-5.47,1.18,14.5,1024.8983,14.616033,3.1755047,0.86419689,0,27,1.17,0.5,0.36,1.9,0.1,1.3888889,-5.26,1.54,14.414286,1024.9211,14.323318,3.9545807,2.0712373,0,30.928571
725785,2.29,0.58,1,0.435,2.95,0.07,2.2988506,-5.96,2.515,16.057143,1024.5731,15.423538,4.2237707,0.44493242,5.8571429,31.571429,0.3,0.2,0.34,1.9,0.005,0.58823529,-5.24,1.56,15.521429,1024.6838,15.221144,3.7859601,0.51565948,0.71428571,29.5,0.605,0.45,0.37,1.55,0.09,1.2162162,-5.47,1.18,14.5,1024.8983,14.616033,3.1755047,0.86419689,0,27
725792,0.47,2.29,1.05,0.475,4.15,0.11,2.2105263,-6.55,3.675,14.614286,1024.8857,15.037047,5.6861025,1.4454452,21.857143,35.142857,0.58,1,0.435,2.95,0.07,2.2988506,-5.96,2.515,16.057143,1024.5731,15.423538,4.2237707,0.44493242,5.8571429,31.571429,0.3,0.2,0.34,1.9,0.005,0.58823529,-5.24,1.56,15.521429,1024.6838,15.221144,3.7859601,0.51565948,0.71428571,29.5
725799,0.635,0.47,0.265,0.38,2.995,0.025,0.69736842,-5.815,2.615,14.421429,1024.9068,14.606392,5.0393763,1.5319863,22,34.571429,2.29,1.05,0.475,4.15,0.11,2.2105263,-6.55,3.675,14.614286,1024.8857,15.037047,5.6861025,1.4454452,21.857143,35.142857,0.58,1,0.435,2.95,0.07,2.2988506,-5.96,2.515,16.057143,1024.5731,15.423538,4.2237707,0.44493242,5.8571429,31.571429
725806,1.575,0.635,0.535,0.395,2.78,0.025,1.3544304,-5.785,2.385,15.185714,1024.7427,14.842236,3.1910067,0.39522802,13.785714,30.928571,0.47,0.265,0.38,2.995,0.025,0.69736842,-5.815,2.615,14.421429,1024.9068,14.606392,5.0393763,1.5319863,22,34.571429,2.29,1.05,0.475,4.15,0.11,2.2105263,-6.55,3.675,14.614286,1024.8857,15.037047,5.6861025,1.4454452,21.857143,35.142857
725813,2.21,1.575,1.49,0.51,5.055,0.09,2.9215686,-6.67,4.545,15.057143,1024.7831,15.017534,4.6189829,0.61757745,11.214286,37.071429,0.635,0.535,0.395,2.78,0.025,1.3544304,-5.785,2.385,15.185714,1024.7427,14.842236,3.1910067,0.39522802,13.785714,30.928571,0.47,0.265,0.38,2.995,0.025,0.69736842,-5.815,2.615,14.421429,1024.9068,14.606392,5.0393763,1.5319863,22,34.571429
725820,1.065,2.21,0.825,0.45,5.695,0.075,1.8333333,-6.375,5.245,14.292857,1024.9803,14.28631,6.6130952,1.4551326,10.285714,44.571429,1.575,1.49,0.51,5.055,0.09,2.9215686,-6.67,4.545,15.057143,1024.7831,15.017534,4.6189829,0.61757745,11.214286,37.071429,0.635,0.535,0.395,2.78,0.025,1.3544304,-5.785,2.385,15.185714,1024.7427,14.842236,3.1910067,0.39522802,13.785714,30.928571
725827,0.805,1.065,0.13,0.21,0.53,0.1,0.61904762,-3.23,0.32,14.957143,1024.862,13.86831,5.3813535,1.1541236,7.5714286,36.071429,2.21,0.825,0.45,5.695,0.075,1.8333333,-6.375,5.245,14.292857,1024.9803,14.28631,6.6130952,1.4551326,10.285714,44.571429,1.575,1.49,0.51,5.055,0.09,2.9215686,-6.67,4.545,15.057143,1024.7831,15.017534,4.6189829,0.61757745,11.214286,37.071429
725834,0.77,0.805,0.05,0.365,0.575,0.01,0.1369863,-5.79,0.21,15.428571,1024.7625,14.141951,3.7615813,0.38035821,14.142857,31.5,1.065,0.13,0.21,0.53,0.1,0.61904762,-3.23,0.32,14.957143,1024.862,13.86831,5.3813535,1.1541236,7.5714286,36.071429,2.21,0.825,0.45,5.695,0.075,1.8333333,-6.375,5.245,14.292857,1024.9803,14.28631,6.6130952,1.4551326,10.285714,44.571429
725841,0.46,0.77,0.09,0.325,1.225,0.035,0.27692308,-5.11,0.9,17.442857,1024.2953,14.976423,3.0250259,-0.024158687,14.142857,34.785714,0.805,0.05,0.365,0.575,0.01,0.1369863,-5.79,0.21,15.428571,1024.7625,14.141951,3.7615813,0.38035821,14.142857,31.5,1.065,0.13,0.21,0.53,0.1,0.61904762,-3.23,0.32,14.957143,1024.862,13.86831,5.3813535,1.1541236,7.5714286,36.071429
725848,0.55,0.46,0.075,0.265,1.165,0.005,0.28301887,-4.165,0.9,17.857143,1024.2264,15.611115,2.5385481,0.033099526,0,33.571429,0.77,0.09,0.325,1.225,0.035,0.27692308,-5.11,0.9,17.442857,1024.2953,14.976423,3.0250259,-0.024158687,14.142857,34.785714,0.805,0.05,0.365,0.575,0.01,0.1369863,-5.79,0.21,15.428571,1024.7625,14.141951,3.7615813,0.38035821,14.142857,31.5
725855,0.965,0.55,0.115,0.36,1.31,0.05,0.31944444,-5.645,0.95,18.5,1024.0965,15.988095,2.6333333,0.035501752,0,32.5,0.46,0.075,0.265,1.165,0.005,0.28301887,-4.165,0.9,17.857143,1024.2264,15.611115,2.5385481,0.033099526,0,33.571429,0.77,0.09,0.325,1.225,0.035,0.27692308,-5.11,0.9,17.442857,1024.2953,14.976423,3.0250259,-0.024158687,14.142857,34.785714
725862,0.38,0.965,0.05,0.305,3.75,0.02,0.16393443,-4.83,3.445,18.257143,1024.1554,16.741667,2.6089286,-0.047839007,0,33.642857,0.55,0.115,0.36,1.31,0.05,0.31944444,-5.645,0.95,18.5,1024.0965,15.988095,2.6333333,0.035501752,0,32.5,0.46,0.075,0.265,1.165,0.005,0.28301887,-4.165,0.9,17.857143,1024.2264,15.611115,2.5385481,0.033099526,0,33.571429
725869,0.46,0.38,0,0.265,3.1,0.035,0,-4.24,2.835,18.792857,1024.0244,17.500893,2.8160714,-0.44835579,0,35.357143,0.965,0.05,0.305,3.75,0.02,0.16393443,-4.83,3.445,18.257143,1024.1554,16.741667,2.6089286,-0.047839007,0,33.642857,0.55,0.115,0.36,1.31,0.05,0.31944444,-5.645,0.95,18.5,1024.0965,15.988095,2.6333333,0.035501752,0,32.5
725876,1.205,0.46,0,0.255,2.7,0.005,0,-4.08,2.445,18.721429,1024.0378,18.303274,2.6360119,-0.80120032,0.21428571,35.214286,0.38,0,0.265,3.1,0.035,0,-4.24,2.835,18.792857,1024.0244,17.500893,2.8160714,-0.44835579,0,35.357143,0.965,0.05,0.305,3.75,0.02,0.16393443,-4.83,3.445,18.257143,1024.1554,16.741667,2.6089286,-0.047839007,0,33.642857
725883,1.445,1.205,0.15,0.32,2.2,0.09,0.46875,-4.97,1.88,18.814286,1024.0616,18.151488,3.8116071,-0.095218038,0.57142857,42.142857,0.46,0,0.255,2.7,0.005,0,-4.08,2.445,18.721429,1024.0378,18.303274,2.6360119,-0.80120032,0.21428571,35.214286,0.38,0,0.265,3.1,0.035,0,-4.24,2.835,18.792857,1024.0244,17.500893,2.8160714,-0.44835579,0,35.357143
725890,1.525,1.445,0,0.355,3.8,0.025,0,-5.68,3.445,18.242857,1024.1713,17.216369,3.9074405,0.30776858,0.35714286,41.285714,1.205,0.15,0.32,2.2,0.09,0.46875,-4.97,1.88,18.814286,1024.0616,18.151488,3.8116071,-0.095218038,0.57142857,42.142857,0.46,0,0.255,2.7,0.005,0,-4.08,2.445,18.721429,1024.0378,18.303274,2.6360119,-0.80120032,0.21428571,35.214286
725897,0.86,1.525,0,0.335,1.65,0.01,0,-5.36,1.315,18.142857,1024.1449,17.01994,2.9104167,0.14502255,0,36.142857,1.445,0,0.355,3.8,0.025,0,-5.68,3.445,18.242857,1024.1713,17.216369,3.9074405,0.30776858,0.35714286,41.285714,1.205,0.15,0.32,2.2,0.09,0.46875,-4.97,1.88,18.814286,1024.0616,18.151488,3.8116071,-0.095218038,0.57142857,42.142857
725904,1.035,0.86,0,0.32,2.7,0.01,0,-5.12,2.38,17.935714,1024.2292,17.350323,3.0337733,-0.064958161,0,38.928571,1.525,0,0.335,1.65,0.01,0,-5.36,1.315,18.142857,1024.1449,17.01994,2.9104167,0.14502255,0,36.142857,1.445,0,0.355,3.8,0.025,0,-5.68,3.445,18.242857,1024.1713,17.216369,3.9074405,0.30776858,0.35714286,41.285714
725911,1.38,1.035,0.225,0.385,4.225,0.015,0.58441558,-5.935,3.84,17.814286,1024.2564,17.724431,2.9007376,-0.1078087,0,37.714286,0.86,0,0.32,2.7,0.01,0,-5.12,2.38,17.935714,1024.2292,17.350323,3.0337733,-0.064958161,0,38.928571,1.525,0,0.335,1.65,0.01,0,-5.36,1.315,18.142857,1024.1449,17.01994,2.9104167,0.14502255,0,36.142857
725918,2.48,1.38,0.375,0.335,4.55,0.03,1.119403,-4.985,4.215,18.028571,1024.2331,18.261012,2.59375,-0.30789912,0,36.857143,1.035,0.225,0.385,4.225,0.015,0.58441558,-5.935,3.84,17.814286,1024.2564,17.724431,2.9007376,-0.1078087,0,37.714286,0.86,0,0.32,2.7,0.01,0,-5.12,2.38,17.935714,1024.2292,17.350323,3.0337733,-0.064958161,0,38.928571
725925,1.64,2.48,0.2,0.235,2.55,0.06,0.85106383,-3.56,2.315,16.885714,1024.5168,18.432738,2.7598214,-0.43650994,0,37.857143,1.38,0.375,0.335,4.55,0.03,1.119403,-4.985,4.215,18.028571,1024.2331,18.261012,2.59375,-0.30789912,0,36.857143,1.035,0.225,0.385,4.225,0.015,0.58441558,-5.935,3.84,17.814286,1024.2564,17.724431,2.9007376,-0.1078087,0,37.714286
725932,1.7,1.64,0.125,0.295,2.825,0.025,0.42372881,-4.595,2.53,18.342857,1024.1832,18.521351,2.9133929,-0.44148546,0,39.642857,2.48,0.2,0.235,2.55,0.06,0.85106383,-3.56,2.315,16.885714,1024.5168,18.432738,2.7598214,-0.43650994,0,37.857143,1.38,0.375,0.335,4.55,0.03,1.119403,-4.985,4.215,18.028571,1024.2331,18.261012,2.59375,-0.30789912,0,36.857143
725939,1.415,1.7,0.1,0.255,3.15,0.02,0.39215686,-3.98,2.895,18.742857,1024.0936,18.964506,2.6479167,-0.57033499,0.57142857,39.642857,1.64,0.125,0.295,2.825,0.025,0.42372881,-4.595,2.53,18.342857,1024.1832,18.521351,2.9133929,-0.44148546,0,39.642857,2.48,0.2,0.235,2.55,0.06,0.85106383,-3.56,2.315,16.885714,1024.5168,18.432738,2.7598214,-0.43650994,0,37.857143
725946,1.795,1.415,0,0.25,2.6,0.02,0,-4,2.35,19.028571,1024.0091,19.337435,2.7008929,-0.42773179,0.57142857,36.428571,1.7,0.1,0.255,3.15,0.02,0.39215686,-3.98,2.895,18.742857,1024.0936,18.964506,2.6479167,-0.57033499,0.57142857,39.642857,1.64,0.125,0.295,2.825,0.025,0.42372881,-4.595,2.53,18.342857,1024.1832,18.521351,2.9133929,-0.44148546,0,39.642857
725953,2.205,1.795,0.1,0.275,4.25,0.065,0.36363636,-4.3,3.975,18.007143,1024.2141,19.57434,2.4422619,-0.32754217,0,34.142857,1.415,0,0.25,2.6,0.02,0,-4,2.35,19.028571,1024.0091,19.337435,2.7008929,-0.42773179,0.57142857,36.428571,1.7,0.1,0.255,3.15,0.02,0.39215686,-3.98,2.895,18.742857,1024.0936,18.964506,2.6479167,-0.57033499,0.57142857,39.642857
725960,2.9,2.205,0,0.225,3.55,0.055,0,-3.6,3.325,20.721429,1023.5392,20.342702,2.2505047,-0.08282484,0,33.285714,1.795,0.1,0.275,4.25,0.065,0.36363636,-4.3,3.975,18.007143,1024.2141,19.57434,2.4422619,-0.32754217,0,34.142857,1.415,0,0.25,2.6,0.02,0,-4,2.35,19.028571,1024.0091,19.337435,2.7008929,-0.42773179,0.57142857,36.428571
725967,2.18,2.9,0.05,0.23,3.05,0.065,0.2173913,-3.63,2.82,20.2,1023.7058,20.715023,2.6960404,0.19477445,0.21428571,37.214286,2.205,0,0.225,3.55,0.055,0,-3.6,3.325,20.721429,1023.5392,20.342702,2.2505047,-0.08282484,0,33.285714,1.795,0.1,0.275,4.25,0.065,0.36363636,-4.3,3.975,18.007143,1024.2141,19.57434,2.4422619,-0.32754217,0,34.142857
725974,NA,2.18,0.05,0.245,3.6,0.03,0.20408163,-3.87,3.355,19.621429,1023.8285,20.087798,3.039881,0.21985255,0.21428571,38.642857,2.9,0.05,0.23,3.05,0.065,0.2173913,-3.63,2.82,20.2,1023.7058,20.715023,2.6960404,0.19477445,0.21428571,37.214286,2.205,0,0.225,3.55,0.055,0,-3.6,3.325,20.721429,1023.5392,20.342702,2.2505047,-0.08282484,0,33.285714
725711,0.35,0.785,0.3,0.325,2,0.03,0.92307692,-4.9,1.675,17.071429,1024.3445,17.869544,3.2128159,1.5718994,0.92857143,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725718,0.42,0.35,0.25,0.315,1.95,0.045,0.79365079,-4.79,1.635,16.907143,1024.36,17.518569,2.6464286,0.85533878,11.428571,21.5,0.785,0.3,0.325,2,0.03,0.92307692,-4.9,1.675,17.071429,1024.3445,17.869544,3.2128159,1.5718994,0.92857143,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725725,0.725,0.42,0.1,0.36,2.25,0.035,0.27777778,-5.66,1.89,16.657143,1024.4323,17.280378,2.9935947,0.4921063,11.785714,23.357143,0.35,0.25,0.315,1.95,0.045,0.79365079,-4.79,1.635,16.907143,1024.36,17.518569,2.6464286,0.85533878,11.428571,21.5,0.785,0.3,0.325,2,0.03,0.92307692,-4.9,1.675,17.071429,1024.3445,17.869544,3.2128159,1.5718994,0.92857143,20.5
725732,0.865,0.725,0.1,0.375,1.95,0.03,0.26666667,-5.9,1.575,16.535714,1024.4407,17.077997,3.41294,0.95232488,5.8571429,22.071429,0.42,0.1,0.36,2.25,0.035,0.27777778,-5.66,1.89,16.657143,1024.4323,17.280378,2.9935947,0.4921063,11.785714,23.357143,0.35,0.25,0.315,1.95,0.045,0.79365079,-4.79,1.635,16.907143,1024.36,17.518569,2.6464286,0.85533878,11.428571,21.5
725739,1.06,0.865,0.4,0.375,1.7,0.03,1.0666667,-5.6,1.325,16.285714,1024.4924,16.778086,3.1319862,1.3911381,4.5714286,21.571429,0.725,0.1,0.375,1.95,0.03,0.26666667,-5.9,1.575,16.535714,1024.4407,17.077997,3.41294,0.95232488,5.8571429,22.071429,0.42,0.1,0.36,2.25,0.035,0.27777778,-5.66,1.89,16.657143,1024.4323,17.280378,2.9935947,0.4921063,11.785714,23.357143
725746,1.495,1.06,0.35,0.39,1.85,0.07,0.8974359,-5.89,1.46,15.55,1024.5995,16.303979,3.6864505,0.66053813,30.5,30.642857,0.865,0.4,0.375,1.7,0.03,1.0666667,-5.6,1.325,16.285714,1024.4924,16.778086,3.1319862,1.3911381,4.5714286,21.571429,0.725,0.1,0.375,1.95,0.03,0.26666667,-5.9,1.575,16.535714,1024.4407,17.077997,3.41294,0.95232488,5.8571429,22.071429
725753,1.16,1.495,0,0.41,1.7,0.22,0,-6.56,1.29,15.071429,1024.7207,15.612798,4.596131,1.5559935,30.5,34.571429,1.06,0.35,0.39,1.85,0.07,0.8974359,-5.89,1.46,15.55,1024.5995,16.303979,3.6864505,0.66053813,30.5,30.642857,0.865,0.4,0.375,1.7,0.03,1.0666667,-5.6,1.325,16.285714,1024.4924,16.778086,3.1319862,1.3911381,4.5714286,21.571429
725760,1.275,1.16,0,0.48,1.4,0.085,0,-7.68,0.92,14.25,1024.9447,14.642987,4.1147774,2.2960664,0,30.5,1.495,0,0.41,1.7,0.22,0,-6.56,1.29,15.071429,1024.7207,15.612798,4.596131,1.5559935,30.5,34.571429,1.06,0.35,0.39,1.85,0.07,0.8974359,-5.89,1.46,15.55,1024.5995,16.303979,3.6864505,0.66053813,30.5,30.642857
725767,0.325,1.275,2.25,0.56,3.55,0.18,4.0178571,-6.71,2.99,14.55,1024.8922,14.324845,3.4948887,1.3157019,0,29.214286,1.16,0,0.48,1.4,0.085,0,-7.68,0.92,14.25,1024.9447,14.642987,4.1147774,2.2960664,0,30.5,1.495,0,0.41,1.7,0.22,0,-6.56,1.29,15.071429,1024.7207,15.612798,4.596131,1.5559935,30.5,34.571429
725774,0.395,0.325,0.35,0.35,2.15,0.025,1,-5.25,1.8,14.821429,1024.8314,14.939454,3.2471791,0.87299193,0,28.571429,1.275,2.25,0.56,3.55,0.18,4.0178571,-6.71,2.99,14.55,1024.8922,14.324845,3.4948887,1.3157019,0,29.214286,1.16,0,0.48,1.4,0.085,0,-7.68,0.92,14.25,1024.9447,14.642987,4.1147774,2.2960664,0,30.5
