Location_Code,latitude (degrees_north),longitude (degrees_east),depth (m),SampleID,time (UTC),Temp (degree_C),Air_Temp (degree_C),Salinity,Chl_Volume_Filtered (mL),Chl1 (mg/m3),Chl2 (mg/m3),Avg_Chloro (mg/m3),Phaeo1 (mg/m3),Phaeo2 (mg/m3),Avg_Phaeo (mg/m3),Phosphate (uM),Silicate (uM),Nitrite (uM),Nitrite_Nitrate (uM),Ammonium (uM),Nitrate (uM),DA_Volume_Filtered (mL),pDA (ng/mL),tDA (ng/mL),dDA (ng/mL),Volume_Settled_for_Counting (mL),Akashiwo_sanguinea (cells/L),Alexandrium_spp (cells/L),Dinophysis_spp (cells/L),Lingulodinium_polyedra (cells/L),Prorocentrum_spp (cells/L),Pseudo_nitzschia_delicatissima_group (cells/L),Pseudo_nitzschia_seriata_group (cells/L),Ceratium_spp (cells/L),Cochlodinium_spp (cells/L),Gymnodinium_spp (cells/L),Other_Diatoms (cells/L),Other_Dinoflagellates (cells/L),Total_Phytoplankton (cells/L)
SIO,32.867,-117.257,NaN,20081020,2008-10-20T15:09:00Z,16.6,NaN,NaN,100.0,1.73,1.75,1.74,0.65,0.69,0.67,0.29,1.8,0.0,NaN,0.81,0.32,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081027,2008-10-27T15:19:00Z,17.6,NaN,NaN,100.0,0.91,0.91,0.91,0.8,0.82,0.81,0.3,1.9,0.0,NaN,1.16,0.59,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081103,2008-11-03T16:50:00Z,16.2,NaN,NaN,100.0,0.86,0.83,0.84,0.9,1.04,0.97,0.43,3.3,0.0,NaN,1.4,0.9,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081110,2008-11-10T17:09:00Z,16.9,NaN,NaN,100.0,1.18,1.18,1.18,0.8,0.77,0.79,0.36,2.8,0.0,NaN,0.8,0.56,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081117,2008-11-17T16:55:00Z,16.9,NaN,NaN,100.0,1.28,1.24,1.26,0.42,0.43,0.42,0.3,3.0,0.0,NaN,0.6,0.29,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081124,2008-11-24T17:15:00Z,17.0,NaN,NaN,100.0,0.76,0.76,0.76,0.3,0.3,0.3,0.31,2.4,0.0,NaN,0.31,0.2,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081201,2008-12-01T17:00:00Z,16.4,NaN,NaN,100.0,1.45,1.47,1.46,1.12,1.16,1.14,0.38,3.2,0.0,NaN,0.65,0.58,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081208,2008-12-08T17:05:00Z,16.6,NaN,NaN,100.0,1.67,1.59,1.63,0.98,0.92,0.95,0.36,2.6,0.0,NaN,0.91,0.43,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081215,2008-12-15T16:40:00Z,15.1,NaN,NaN,100.0,1.22,1.25,1.24,0.71,0.7,0.71,0.36,3.9,0.04,NaN,0.54,0.25,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081222,2008-12-22T17:09:00Z,14.5,NaN,NaN,100.0,1.6,1.62,1.61,0.77,0.88,0.83,0.44,4.3,0.0,NaN,0.41,1.35,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081229,2008-12-29T17:15:00Z,13.7,NaN,NaN,100.0,1.4,1.39,1.39,0.74,0.75,0.75,0.53,5.5,0.0,NaN,0.76,2.47,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090105,2009-01-05T17:56:00Z,13.4,NaN,NaN,100.0,2.69,2.58,2.63,0.88,1.11,1.0,0.44,5.1,0.0,NaN,0.68,1.17,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090112,2009-01-12T17:55:00Z,14.0,NaN,NaN,100.0,2.6,2.5,2.55,0.43,0.44,0.43,0.36,4.2,0.0,NaN,0.45,0.52,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090120,2009-01-20T17:25:00Z,14.5,NaN,NaN,100.0,1.71,1.67,1.69,0.56,0.58,0.57,0.33,3.1,0.0,NaN,0.37,0.4,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090126,2009-01-26T17:00:00Z,14.3,NaN,NaN,100.0,1.4,1.38,1.39,1.31,1.31,1.31,0.38,3.5,0.0,NaN,0.36,0.84,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090202,2009-02-02T18:09:00Z,14.4,NaN,NaN,100.0,1.69,1.66,1.67,0.77,0.79,0.78,0.36,4.0,0.0,NaN,0.47,0.68,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090209,2009-02-09T17:15:00Z,14.5,NaN,NaN,100.0,1.23,1.21,1.22,0.62,0.59,0.6,0.3,3.6,0.0,NaN,0.69,0.4,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090216,2009-02-16T17:09:00Z,13.8,NaN,NaN,100.0,2.28,2.32,2.3,0.98,1.05,1.02,0.42,4.6,0.0,NaN,1.24,1.43,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090223,2009-02-23T17:09:00Z,14.3,NaN,NaN,100.0,1.86,1.96,1.91,0.75,0.69,0.72,0.29,4.5,0.0,NaN,0.48,0.46,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090302,2009-03-02T17:09:00Z,14.9,NaN,NaN,100.0,2.34,2.52,2.43,0.6,0.54,0.57,0.22,3.9,0.0,NaN,0.0,0.38,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090309,2009-03-09T15:15:00Z,14.5,NaN,NaN,100.0,4.91,5.06,4.98,0.98,0.86,0.92,0.21,3.8,0.0,NaN,0.24,0.22,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090316,2009-03-16T15:15:00Z,14.7,NaN,NaN,100.0,5.15,5.32,5.23,0.8,0.49,0.64,0.2,4.3,0.0,NaN,0.25,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090323,2009-03-23T15:09:00Z,14.3,NaN,NaN,100.0,6.23,6.3,6.26,1.35,1.62,1.49,0.4,5.9,0.0,NaN,0.64,1.4,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090330,2009-03-30T15:50:00Z,14.4,NaN,NaN,100.0,3.26,3.21,3.24,1.38,1.53,1.45,0.32,6.3,0.0,NaN,0.78,0.75,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090406,2009-04-06T15:05:00Z,15.9,NaN,NaN,100.0,1.74,1.79,1.77,0.48,0.47,0.47,0.26,6.0,0.0,NaN,0.69,0.11,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090413,2009-04-13T15:09:00Z,15.3,NaN,NaN,100.0,2.03,1.95,1.99,0.55,0.56,0.56,0.4,7.6,0.0,NaN,0.4,1.57,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090420,2009-04-20T15:15:00Z,16.7,NaN,NaN,100.0,1.82,1.82,1.82,0.36,0.38,0.37,0.11,0.0,0.0,NaN,0.5,0.0,200.0,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090427,2009-04-27T15:09:00Z,15.8,NaN,NaN,100.0,1.67,1.65,1.66,1.15,1.27,1.21,0.49,6.2,0.0,NaN,1.42,2.92,200.0,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090504,2009-05-04T15:09:00Z,17.7,NaN,NaN,100.0,3.78,3.85,3.81,0.68,0.66,0.67,0.17,1.1,0.0,NaN,0.35,0.19,200.0,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090511,2009-05-11T15:15:00Z,18.9,NaN,NaN,100.0,4.5,4.39,4.45,0.84,0.96,0.9,0.13,0.0,0.0,NaN,0.22,0.3,200.0,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090518,2009-05-18T15:09:00Z,19.3,NaN,NaN,100.0,2.94,2.81,2.87,0.88,1.04,0.96,0.12,0.0,0.0,NaN,0.29,0.28,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090525,2009-05-25T16:10:00Z,20.2,NaN,NaN,100.0,1.07,1.05,1.06,0.41,0.37,0.39,0.15,1.5,0.0,NaN,1.14,0.36,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090601,2009-06-01T15:15:00Z,19.0,NaN,NaN,100.0,1.84,1.88,1.86,0.88,0.88,0.88,0.17,2.4,0.0,NaN,1.0,0.54,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090608,2009-06-08T15:09:00Z,19.5,NaN,NaN,100.0,1.79,1.81,1.8,0.65,0.7,0.67,0.28,6.2,0.0,NaN,1.77,1.36,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090615,2009-06-15T15:09:00Z,19.9,NaN,NaN,100.0,0.91,0.9,0.9,0.17,0.22,0.19,0.28,6.3,0.0,NaN,0.31,0.37,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090622,2009-06-22T15:14:00Z,20.6,NaN,NaN,100.0,1.27,1.24,1.25,0.58,0.57,0.57,0.24,5.4,0.0,NaN,0.59,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090629,2009-06-29T15:09:00Z,20.3,NaN,NaN,100.0,1.84,1.92,1.88,0.59,0.67,0.63,0.28,4.2,0.0,NaN,0.81,0.32,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090706,2009-07-06T15:15:00Z,18.0,NaN,NaN,100.0,3.21,3.26,3.24,0.84,0.79,0.82,0.32,4.7,0.0,NaN,0.82,0.71,200.0,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090713,2009-07-13T15:15:00Z,20.9,NaN,NaN,100.0,2.45,2.37,2.41,0.4,0.47,0.43,0.26,0.0,0.0,NaN,0.57,0.17,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090720,2009-07-20T15:09:00Z,20.9,NaN,NaN,100.0,2.42,2.4,2.41,0.28,0.31,0.3,0.21,0.0,0.0,NaN,0.44,0.1,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090727,2009-07-27T15:15:00Z,24.5,NaN,NaN,100.0,1.06,1.01,1.03,0.25,0.26,0.26,0.17,0.0,0.0,NaN,0.74,0.29,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090803,2009-08-03T15:09:00Z,23.5,NaN,NaN,100.0,0.92,0.93,0.92,0.47,0.48,0.47,0.24,0.0,0.0,NaN,0.47,0.33,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090810,2009-08-10T15:19:00Z,23.0,NaN,NaN,100.0,0.68,0.7,0.69,0.23,0.23,0.23,0.24,1.2,0.0,NaN,1.38,0.51,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090817,2009-08-17T15:05:00Z,22.1,NaN,NaN,100.0,0.92,0.93,0.93,0.44,0.45,0.45,0.28,1.2,0.0,NaN,0.57,0.33,200.0,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090824,2009-08-24T15:09:00Z,22.8,NaN,NaN,100.0,1.09,1.06,1.07,0.49,0.52,0.51,0.22,1.4,0.0,NaN,0.98,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090831,2009-08-31T15:15:00Z,23.8,NaN,NaN,100.0,0.91,0.91,0.91,0.33,0.32,0.33,0.21,1.2,0.0,NaN,0.85,0.12,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090907,2009-09-07T15:15:00Z,24.7,NaN,NaN,100.0,0.99,1.02,1.01,0.4,0.42,0.41,0.23,0.0,0.0,NaN,0.5,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090914,2009-09-14T15:15:00Z,22.3,NaN,NaN,100.0,0.56,0.57,0.57,0.29,0.29,0.29,0.23,0.0,0.0,NaN,0.57,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090921,2009-09-21T15:15:00Z,22.8,NaN,NaN,100.0,1.02,0.99,1.0,0.37,0.38,0.38,0.23,1.2,0.0,NaN,0.75,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20090928,2009-09-28T15:09:00Z,21.4,NaN,NaN,100.0,0.74,0.77,0.75,0.32,0.34,0.33,0.27,2.0,0.0,NaN,0.52,0.49,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091005,2009-10-05T15:09:00Z,20.1,NaN,NaN,100.0,0.78,0.79,0.78,0.36,0.37,0.37,0.34,1.6,0.0,NaN,0.47,0.31,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091012,2009-10-12T15:09:00Z,18.3,NaN,NaN,100.0,0.93,0.96,0.95,0.31,0.33,0.32,0.37,2.7,0.0,NaN,1.19,0.45,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091019,2009-10-19T15:09:00Z,19.1,NaN,NaN,100.0,1.17,1.14,1.15,0.5,0.53,0.51,0.33,2.3,0.0,NaN,0.28,0.62,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091026,2009-10-26T15:15:00Z,19.5,NaN,NaN,100.0,1.07,1.07,1.07,0.6,0.6,0.6,0.35,2.1,0.0,NaN,0.65,0.65,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091102,2009-11-02T17:09:00Z,16.7,NaN,NaN,100.0,1.23,1.24,1.23,0.44,0.43,0.44,0.39,2.9,0.0,NaN,0.49,0.76,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091109,2009-11-09T17:08:00Z,17.1,NaN,NaN,100.0,0.79,0.76,0.78,0.34,0.34,0.34,0.36,2.3,0.0,NaN,0.5,0.65,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091116,2009-11-16T17:09:00Z,17.2,NaN,NaN,100.0,1.09,1.09,1.09,0.29,0.3,0.29,0.37,2.3,0.0,NaN,0.76,0.75,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091123,2009-11-23T17:15:00Z,16.7,NaN,NaN,100.0,1.53,1.49,1.51,0.61,0.6,0.6,0.37,2.6,0.0,NaN,0.53,0.9,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20091130,2009-11-30T17:09:00Z,16.4,NaN,NaN,100.0,0.96,0.98,0.97,0.54,0.5,0.52,0.41,2.6,0.0,NaN,0.61,1.13,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
